,logFC,logCPM,F,PValue,FDR
BRS3,-2.46514493871062,-4.17559283213003,54.1972084535991,9.86167653355457e-13,1.78575238669606e-08
HPCA,-1.35341930905782,-2.62955887194396,47.7699841918061,1.81990623264919e-11,1.64774310304058e-07
FBXL16,-0.791779427566054,-0.318010987289322,45.4088009370181,5.37510694626033e-11,2.67119503405285e-07
ATP1B2,-1.13097495357456,-2.33235589139694,45.2061190560292,5.90058545185079e-11,2.67119503405285e-07
Z95704.3,1.97704750306711,-4.55316859426905,43.2061567806648,1.48514386239554e-10,5.3785970120517e-07
SEMA3D,1.20148777971343,0.972309490118508,42.7195939811962,1.86044880153182e-10,5.61483448302303e-07
JPH3,-1.08583134766038,-3.00847779780852,41.1818321373451,3.79935090200285e-10,9.82837801906679e-07
IQGAP2,1.48191288652473,-0.801152346710295,40.7614856946014,4.62059778163097e-10,1.04587230787217e-06
ALPK3,0.827590558884613,-0.116616763667804,39.9502566575226,6.74520907844098e-10,1.35713606658233e-06
CTD-2083E4.5,1.04504001343596,-0.95131937489285,39.2550704454924,9.33433879019043e-10,1.69026206812768e-06
HIVEP1,0.619691137640617,4.35622820691523,38.9331236242389,1.08521328885678e-09,1.78645838496532e-06
HIST1H2BG,1.19543690905172,-0.384557822654284,35.1306844854086,6.49899595678501e-09,9.80698489878858e-06
FAM84B,0.923988117141244,-0.488295104935184,34.686129049728,8.0220625282483e-09,1.11741160201169e-05
KIF1A,-1.1744866396332,-1.50009259612655,34.5078311523988,8.7295839878981e-09,1.12910933466328e-05
IL27,1.61432921216787,-4.62378722275517,34.1900091211154,1.01501883224398e-08,1.16940039764879e-05
COL14A1,1.34742831479626,2.90855074565566,34.1343429612673,1.04219579719704e-08,1.16940039764879e-05
RP13-554M15.7,1.25823544512731,1.85902776700869,34.0247746904905,1.09784662911583e-08,1.16940039764879e-05
HMP19,-1.34678378820118,-2.93598380624018,33.7923124405246,1.22602289541578e-08,1.23337903278828e-05
KSR1,0.466659850634951,3.53693397607699,33.5410818065452,1.38154490041388e-08,1.26669589005412e-05
GPM6A,-1.38840873653681,-2.21673909264954,33.5146124430656,1.39904560421263e-08,1.26669589005412e-05
PPP1R1B,-1.31747535616302,-1.75858747269837,33.2982271016762,1.55074190683619e-08,1.29602171855457e-05
HSPD1P7,1.47746570913431,-3.33724780208397,33.2201875974437,1.60942422961329e-08,1.29602171855457e-05
GRIN1,-0.97807342041879,-2.48053355372535,33.1727899910944,1.64615084640795e-08,1.29602171855457e-05
PLEKHA3P1,1.80177155116086,-3.01922129781719,33.0701782747271,1.72857665056981e-08,1.30421108285492e-05
SAMD12,0.953912577594548,-0.927399330121193,32.9696969998214,1.81331604606643e-08,1.31342107848684e-05
RP11-888D10.4,1.04963592698901,-0.213668965768186,32.8059826275519,1.96043266940877e-08,1.34935813932927e-05
ELOA2,1.53450852314551,-3.12841785394222,32.7109131977445,2.05131800145519e-08,1.34935813932927e-05
SLC6A1,-1.31039040722753,-3.33529096131548,32.5667780173207,2.19726496377416e-08,1.34935813932927e-05
TUBB4A,-0.938841893584308,-2.50032905609972,32.5396531081503,2.22587765875916e-08,1.34935813932927e-05
CTD-3014M21.1,0.947933888887197,0.00292091262885578,32.4833985815984,2.28641872306927e-08,1.34935813932927e-05
KCNQ2,-1.17505955937244,-3.02326271197727,32.4152148658933,2.36202427687149e-08,1.34935813932927e-05
CCL20,1.42429283451692,1.9218718463714,32.3953232514409,2.38455160473474e-08,1.34935813932927e-05
MAGEA11,1.81950797921208,-4.62565460434258,32.113850806277,2.72751110939313e-08,1.46338259362915e-05
PCP4,-1.55080866770812,-2.90498876609867,32.0541433312328,2.80641979170271e-08,1.46338259362915e-05
JPH4,-0.898079052325624,-2.42733929630148,32.037741948205,2.82849518317983e-08,1.46338259362915e-05
TCHH,1.28081702756804,-0.898795195141251,31.934970838177,2.97085448211092e-08,1.49433980450179e-05
KIAA1211,0.978321885749779,-2.00410717272151,31.8548143690732,3.08687667975088e-08,1.50936172744177e-05
PCDHGB8P,0.839668750896649,-0.289747340270842,31.746812153258,3.25045079304472e-08,1.50936172744177e-05
GNAO1,-0.6440755391471,-1.68056377895687,31.7466009514621,3.25077906838022e-08,1.50936172744177e-05
ASNSP1,1.69855900493515,-3.76550242041089,31.4688119686969,3.71277754662876e-08,1.68077439535884e-05
MUC2,1.2683927854878,-2.75105249900246,31.2206554587775,4.18115703228651e-08,1.84664369611327e-05
CTD-2542C24.5,-1.45228603107792,-3.60521187771383,30.8835968799039,4.91409096287098e-08,2.07575931439131e-05
THAP12P7,0.853495395367352,-1.67926928169331,30.8772010955457,4.92918326258152e-08,2.07575931439131e-05
FHDC1,0.678659214168609,0.552900777109673,30.8074116788633,5.09693084023925e-08,2.09761871943301e-05
FLRT2,0.395056779580603,6.53389485234685,30.7379797736158,5.26952226334079e-08,2.12045575876834e-05
