,logFC,logCPM,F,PValue,FDR
HPS6,1.06758710807067,3.73381781896155,281.478612334435,1.27502807301491e-45,2.67169382419544e-41
FNDC5,-2.10309057872862,2.08574633329096,259.918286564245,4.33123707733914e-43,4.53783708592822e-39
CLP1,1.13043688015974,2.98641887820162,256.350122045259,1.16062966511599e-42,7.44092620739358e-39
TMEM178A,-1.44410675718135,3.21074095363754,255.621658366708,1.42043069722126e-42,7.44092620739358e-39
MMP17,-1.66484974499515,3.6584004761183,240.592578560588,9.72596726363258e-41,4.07595836084314e-37
DNAJC14,0.733128130422593,4.17449460129861,234.944891349169,4.90512210379877e-40,1.71303214271666e-36
RGP1,0.660648245510813,5.20125664565907,228.63270013274,3.05286722090252e-39,9.13853996382733e-36
XKR4,-2.25510336623879,4.59027681042102,211.458688894605,4.93344815479668e-37,1.29219340794512e-33
RASGEF1C,-1.63839450040588,2.4102904810391,204.747783636733,3.76653781341552e-36,8.76933703803431e-33
MOCS3,0.778092602825793,2.65096829906576,203.922741093853,4.8447018932764e-36,1.01515883471714e-32
CTD-3035K23.7,-1.58477668025532,2.09317957912734,203.10283082534,6.22423257527008e-36,1.15098762847674e-32
POLR2B,0.570654788692032,6.35880463996278,202.915408727686,6.59151070999375e-36,1.15098762847674e-32
DLD,0.709014596554184,6.65551135835526,202.209034972885,8.18293426611128e-36,1.26395913384691e-32
ARHGAP15,-1.72490688300799,2.76274863306966,202.106195148584,8.44489256173368e-36,1.26395913384691e-32
SRCIN1,-1.43006761053139,4.01567821575421,201.508422612354,1.01436720680288e-35,1.41700336342317e-32
GCC1,0.617805793646548,3.9868558166489,199.316781105132,1.98993447095316e-35,2.60606793152203e-32
B4GALT6,-1.24933415994271,2.26026325924309,199.104904043554,2.12420723948242e-35,2.61827285271262e-32
MRC2,-1.22116020049236,6.10646440928504,198.609079281351,2.47517204840194e-35,2.88137528345635e-32
ZBTB39,0.830510489151493,3.63127117310063,195.437280632603,6.6063398131616e-35,7.28574970763096e-32
C1QTNF3,-1.83371569050517,4.60913739835941,195.158955027342,7.20280036559932e-35,7.5463739430384e-32
MEGF6,-1.20400536651593,5.77584225580733,194.520238834749,8.78475308193375e-35,8.76551028946856e-32
PIAS1,0.741585627416216,5.8043390251183,191.917006261884,1.9783643054262e-34,1.88430207526821e-31
MAOA,1.24731015306911,7.67255997212693,191.433803658537,2.30118600031126e-34,2.09648049784879e-31
RP11-285F7.2,-0.852245912185646,2.37531922887402,189.079875623131,4.81563109871389e-34,4.08653003186252e-31
RIOX1,0.778117988775272,2.89423586855278,189.0405211904,4.87559658282729e-34,4.08653003186252e-31
TFAP2A,-1.26089093040571,1.45287113411784,188.022158071103,6.71817551209804e-34,5.41433268001932e-31
FDFT1,0.677655206034757,6.33538273206757,187.754030801925,7.31063808862731e-34,5.6735966855221e-31
IARS2,0.558774813761252,6.36344862340722,187.512685678672,7.88878205862972e-34,5.90362640201882e-31
TGOLN2,0.487025529728026,7.91995101685085,186.889859937986,9.60254968249494e-34,6.93833882920686e-31
TBC1D14,0.788460610080875,4.1684306407439,182.614959420139,3.72646798761949e-33,2.60281367375262e-30
ABCC4,1.3739890345813,5.46195373543524,182.497249814912,3.86888164171048e-33,2.61511438452908e-30
NCAPD2,0.568578613838886,5.09584394753208,182.080455599255,4.41866082128751e-33,2.89339433903933e-30
MATN2,-1.17128131387701,7.17609508088745,181.485312322941,5.34285417424531e-33,3.39255049597383e-30
SEMA3B,-1.09952634360436,7.06005231975761,181.132452773578,5.98032039618774e-33,3.68563628181523e-30
DSCR3,0.399219628415662,5.50649885501737,180.765696627705,6.72420266874305e-33,4.02568407773834e-30
CNOT1,0.607240104846255,6.90554811556432,179.939809497806,8.75865819454854e-33,5.09802566134917e-30
GNG2,-1.25357381784691,5.49151180614254,178.984699454351,1.18970221604573e-32,6.7375730364925e-30
NRXN1,-1.58522705959519,5.31887090896954,177.548704405056,1.88753074145619e-32,1.04082418832824e-29
SMG8,0.853805078846038,3.5376689694793,176.707546908677,2.47508103949413e-32,1.32981661798872e-29
VASH2,-1.43032937482875,0.828891547167792,176.217533875559,2.8989884485048e-32,1.51863509874924e-29
CCNYL1,0.996983813578913,4.09734608822474,175.990295523926,3.11967265558569e-32,1.59438099573518e-29
FASTKD5,0.723634916235792,3.75009798307432,174.65420692371,4.805662995279e-32,2.3975681524542e-29
HKR1,-0.441277841313239,5.41133266523686,173.944459446888,6.04844205147473e-32,2.90950971496577e-29
