,logFC,logCPM,F,PValue,FDR
HPS6,1.13816576945277,3.93099651068875,437.065300443499,1.03864730236637e-68,1.3707023405043e-64
DNAJC14,0.836744194910689,4.14892482365783,436.116250337293,1.32563089023627e-68,1.3707023405043e-64
GINS3,-1.39553776143575,2.18527504119699,406.470687019954,3.09165332620333e-65,2.13117969286283e-61
MMP17,-1.65297986829611,2.95561462114978,391.007076910621,1.96397562028157e-63,1.01537539568557e-59
KIF1BP,0.77886451963099,4.94302482454296,387.596729579843,4.95667545063897e-63,2.05008096638428e-59
GCC1,0.689796279763272,4.06587734177483,379.764030565875,4.21503203934391e-62,1.45278104289387e-58
METTL13,0.653032839725736,4.51460947637893,378.082448536344,6.69134645551891e-62,1.97681492428759e-58
AGGF1,0.574928682680138,4.47695797213316,376.335962856584,1.08243629481446e-61,2.79809782209539e-58
ZNF689,0.834401062808922,3.61652481688018,370.841663846163,4.94792084854225e-61,1.13692225719838e-57
CTR9,0.643185580766411,5.14956944901392,367.965867257352,1.100626591842e-60,2.27609579192926e-57
ZBTB39,0.918794722634394,3.61753528974257,365.521091607558,2.17656871316553e-60,4.0919491807512e-57
SMG8,0.97480044925279,3.56528507078238,363.829560523058,3.49286854851532e-60,6.01937679860808e-57
TMEM71,-1.5253945078272,2.95192035599586,363.083001415533,4.30501966076177e-60,6.84829281419642e-57
MATN2,-1.63470189282412,6.57709015088321,358.210598760335,1.69268593921206e-59,2.50033894449325e-56
TMEM178A,-1.48785741169349,2.67061302204749,357.23122575048,2.23112417340638e-59,3.0759765270696e-56
CLP1,1.13804686001157,3.17294434214481,355.282389401286,3.86932993840482e-59,5.00110894538822e-56
XKR4,-2.17600671492041,4.25908658987931,352.89793448255,7.60290745451426e-59,9.24871330349146e-56
RGP1,0.768563516197127,5.36675271236933,348.888122591414,2.3781499199615e-58,2.73223001915577e-55
GSPT2,0.922261280481403,3.30720007122434,344.458845287276,8.43701630299225e-58,9.18302616557262e-55
POLR2B,0.687721418694135,6.35062501154708,338.566675077295,4.59747360834521e-57,4.75378771102895e-54
NR4A2,-2.5696492542716,4.7443264114251,335.818141886111,1.01828686350329e-56,1.00277011129752e-53
C1QTNF3,-1.98081670044166,4.77365302661722,330.704097128247,4.50458240687157e-56,4.23430746245927e-53
RPL7L1,0.623252199766173,6.13808566402287,330.362111561371,4.97724798162422e-56,4.47519514173865e-53
RP11-285F7.2,-1.12858975060386,1.99815009805516,330.011221695793,5.51406609428221e-56,4.75128695123984e-53
DSCR3,0.593666397938219,5.60896186444779,328.092674710939,9.66141405837608e-56,7.9919217090887e-53
KIAA1429,0.492222801963277,5.6241044466915,326.62851823228,1.48362649227149e-55,1.18005368692979e-52
MED18,0.875738661705891,3.15339864900094,322.37744665492,5.17812235029436e-55,3.96605815570694e-52
MOCS3,0.936137940402318,2.73321906415422,321.235074168085,7.25364223703211e-55,5.35733290935086e-52
SEMG1,-5.24881773555125,-2.15335857425317,318.332240801331,1.71197852513113e-54,1.22081778964523e-51
STARD7,0.655225219706121,6.44562110466534,318.181662044794,1.79012011685304e-54,1.23398946721736e-51
RASSF1,-0.74893891957606,5.40925157231848,315.76147976511,3.67239688716919e-54,2.449844116989e-51
NRXN1,-1.38694151590794,4.76799260221277,314.334863160829,5.61517018723696e-54,3.62880373350189e-51
RASGEF1C,-1.56682269247914,1.86717935472974,312.838755917229,8.77257837939992e-54,5.49748245109062e-51
TFIP11,0.639968155458216,4.15210033352425,311.646033982691,1.25276755334327e-53,7.61977441268789e-51
HMGN4,0.775479680756067,5.46984220531907,311.543286150451,1.29185043027634e-53,7.63299054231846e-51
LDOC1L,0.881063278344043,5.80228762446873,309.020271808125,2.75034475296648e-53,1.57992026364853e-50
CNOT1,0.733564776398702,6.83497095910838,305.535960170244,7.8413243232047e-53,4.3826645136182e-50
