,logFC,logCPM,F,PValue,FDR
ALDH1A2,-1.80953186117492,3.7259963253305,498.939989039857,1.82898488664667e-70,2.09398158095705e-66
EFCC1,-2.14348058497405,2.53818652074927,498.074630738587,2.19875211944879e-70,2.09398158095705e-66
DZIP1,-1.13148242204755,2.87289871147154,466.00506724314,2.31014518488633e-67,1.46671117788433e-63
FREM1,-2.17886639734525,2.67932847946316,453.30584034153,3.91260425603125e-66,1.86308433161568e-62
MMP16,-1.89502708363368,1.44356007437125,442.128827357338,4.89647210386081e-65,1.86526208324474e-61
GNG2,-1.49647712213319,2.57559034607793,434.218542232436,2.99076265997223e-64,9.49417606408183e-61
SNTB1,-1.42109809161528,2.6654632561263,428.445914799051,1.13299536390546e-63,3.08288038518674e-60
ITIH5,-1.98934605173259,5.07362566139387,425.340388199824,2.3289580991785e-63,5.54495811438161e-60
FNDC1,-3.13147091418563,3.27534142911219,423.692907030293,3.41721764837863e-63,7.23197161651865e-60
PDE5A,-1.60277108310454,3.79601166746817,408.183504031663,1.31367656137647e-61,2.50215974645376e-58
PLXDC1,-1.61119627958128,5.53658761011647,406.710646539436,1.86484036979768e-61,3.22905586577603e-58
SMOC2,-1.90085746610314,5.6798088122468,405.135192492131,2.71466086507199e-61,4.30884545808552e-58
COL15A1,-1.70624540877958,6.78053019640514,402.876783235928,4.65655602458016e-61,6.82257096924449e-58
LTBP4,-1.44080711328504,8.21871418916033,399.398813953376,1.07230195960501e-60,1.45886681604261e-57
LSP1,-1.98363165849487,4.58028693678864,398.554685797734,1.31367240247204e-60,1.62990869773113e-57
EBF2,-1.13542069627818,4.24092457342832,398.135115173416,1.45327539637189e-60,1.62990869773113e-57
EBF3,-1.18822603418564,3.57142969761788,398.130929360689,1.45474079180077e-60,1.62990869773113e-57
LMX1B,-1.92273530370903,0.687806743321568,394.451178149415,3.535874082976e-60,3.74154409213577e-57
ANTXR1,-1.36378017427797,5.23356785587782,392.785747537597,5.29276130518615e-60,5.30585392525688e-57
OLFML1,-1.75867657619924,2.91034342451739,387.680167874362,1.83293115923313e-59,1.74559198949567e-56
TRIL,-2.61997013018572,2.99857530596291,385.032945943768,3.50186605716429e-59,3.17619251384801e-56
TCEAL7,-1.54199619431312,1.42991426640611,382.34652577267,6.77069583076583e-59,5.64232431720966e-56
DENND2A,-1.24156460816136,4.34271939975809,382.320996468106,6.81332804619216e-59,5.64232431720966e-56
TIMP2,-1.13174807091156,7.25927140394636,378.994388090432,1.54657627175728e-58,1.22740159367337e-55
MARCKS,-1.4038666254416,4.98507847990254,371.060147222972,1.10908312351699e-57,8.44988250145127e-55
SLC6A1,-1.86804385634187,2.64143468397804,369.81532711971,1.51369112128095e-57,1.10889518411686e-54
NAALAD2,-1.56048084461568,1.2110570530677,366.42055236926,3.54458712501682e-57,2.50050929519242e-54
PTN,-2.06435339141042,4.83531798934677,364.725657311331,5.42877377476345e-57,3.69292336028284e-54
PLAGL1,-1.23259624759421,4.95184266900744,360.467431915271,1.59125898036403e-56,1.04512792410323e-53
ZNF251,-1.51000232548909,4.52393090321333,359.7915710359,1.88851799570303e-56,1.19902007547185e-53
ATG9A,0.745369929884465,6.37636635675343,355.520114547454,5.5952401974691e-56,3.43782387229658e-53
MATN2,-1.78423994430494,4.77738775018338,353.743706015063,8.80669179654548e-56,5.24190808277506e-53
EFS,-1.20710989382765,2.93000929730192,351.830894406689,1.43707404352415e-55,8.29453009303164e-53
C1QTNF2,-1.81520954927462,1.39399127767375,351.051040711054,1.75527994365569e-55,9.83318149612056e-53
KCNS3,-1.67721164950261,2.45706141353083,350.699596199976,1.92098720916207e-55,1.045401239226e-52
EPB41L2,-0.924707956887031,6.12251705082223,349.366495333576,2.70589105969494e-55,1.43164186150027e-52
ADAMTSL3,-1.17867720763591,3.8928865161298,347.445608084721,4.43800761753933e-55,2.28461435381815e-52
KCNN3,-1.75692028127638,2.5116433405363,347.128143518987,4.81677875663853e-55,2.41434697309721e-52
PAGR1,-0.908280765178798,3.96303823550176,346.247143919498,6.04709705156489e-55,2.95330916772196e-52
OXER1,-1.89543775151432,0.413274307143,344.606676761098,9.24328905209225e-55,4.40142316438003e-52
ANO1,-1.08387662380018,4.13417868569631,343.595955643013,1.20109412570713e-54,5.57981458837651e-52
MSC-AS1,-1.25167688108064,1.72036761478255,342.211948603894,1.72029339682241e-54,7.80153055458962e-52
ROBO1,-1.25565274424913,3.15306149412375,339.383320720898,3.59286021949355e-54,1.59146996745799e-51
ZC3H12B,-1.26162463858244,-0.0643060379369126,335.049350174848,1.11684853401359e-53,4.83468500621748e-51
CAPN5,-1.36445378808571,2.67257525209345,331.277670847551,3.01395356462724e-53,1.27570607878789e-50
LHFP,-0.84877490523885,6.19200846521985,330.630167845372,3.57592302235324e-53,1.48066534362527e-50
C6orf106,0.894572467903155,7.01563767640874,328.925349663601,5.6132933865541e-53,2.27481700284459e-50
FXYD6,-1.09501461874192,5.0868974463163,327.303233398419,8.62969692671024e-53,3.42437161173021e-50
