,logFC,logCPM,F,PValue,FDR
GNS,1.15470011974019,5.91735808994818,217.987490241184,2.35957878132598e-33,4.49051437874147e-29
KIAA0100,1.32326540973379,5.56537520598719,210.699500630389,1.31714100529346e-32,1.25332552358699e-28
NOMO2,1.87835663356564,2.15217895138838,182.344799157844,1.45111179556044e-29,9.2053695271036e-26
NOMO1,0.957431382540751,4.40429967803418,180.316502801774,2.44457811871535e-29,1.05794416163549e-25
ADPRH,1.20006845113427,1.49632226561597,179.81883327351,2.77952856296435e-29,1.05794416163549e-25
MANSC1,0.752384742520377,3.13206679961478,173.631949196507,1.39207206893411e-28,4.41542059064751e-25
DYNC1H1,0.756283339034663,6.30202492662135,166.035180138906,1.04584298549518e-27,2.84334826527983e-24
BECN1,1.04699621726798,3.78098887513099,160.834413568374,4.26605934975903e-27,1.0148421935658e-23
METTL13,0.635168760328356,4.01064197858686,158.480807685403,8.11627081939795e-27,1.71623055515514e-23
ARF3,0.651717181676883,5.5201055073254,157.601912990365,1.03313195926602e-26,1.96615343167916e-23
MBTPS1,0.556236363542113,5.73181179719177,157.168774479444,1.16386343185133e-26,2.01358954286933e-23
M6PR,0.965022878251155,4.29235239665337,155.292500296041,1.95350909362664e-26,3.09810263006738e-23
EXT2,0.784324527175224,4.86550045808651,152.988974620191,3.70378288016565e-26,5.42205323018711e-23
DPAGT1,1.01660908424517,4.95600433746561,151.488193549995,5.63217464510658e-26,7.65613683364452e-23
CPD,1.28614258006906,6.15622433654395,149.903276063794,8.78607752743276e-26,1.11471894283049e-22
HIPK2,0.987688363011835,6.42978006621581,149.625783034507,9.49950481352418e-26,1.12990672566362e-22
RGP1,0.747967108625908,3.99142452373574,149.140169814859,1.08919118628622e-25,1.21931749801253e-22
CD163,2.43409339222766,5.20304692329529,147.7180901665,1.62764402031844e-25,1.72087185281557e-22
SEPT7P2,-0.774884759698221,3.43309347469482,146.806420621337,2.10761998884652e-25,2.11105873724937e-22
TPP1,0.804032801753264,6.62704565883538,146.578376460534,2.24861116999984e-25,2.11198328214175e-22
MAP1LC3A,-1.28506089281245,4.71419748994823,146.425532010686,2.34840900591566e-25,2.11198328214175e-22
ZNF106,0.546505517323001,4.87605774886278,146.288806757416,2.44147087421147e-25,2.11198328214175e-22
POGZ,-0.678159161592068,6.13195483655563,145.326085694341,3.21137197473645e-25,2.65720087179171e-22
PI4KA,0.678872232043955,5.71314961231609,142.135573356016,8.01104416634188e-25,6.33307906414076e-22
WASHC5,0.629559221587586,3.93993393939239,142.004405241734,8.31942496997105e-25,6.33307906414076e-22
RAC3,-1.57610488018349,2.9765118614842,141.639644602772,9.24156985485069e-25,6.58702652455986e-22
NEU1,0.874821426775396,4.72378655049072,141.600950694729,9.3452638412651e-25,6.58702652455986e-22
UNC45A,0.537219000498449,4.69599746847204,140.94321077909,1.12992961469377e-24,7.51087825005694e-22
AGA,0.950706913041376,3.29712376782288,140.898783998834,1.14452981583548e-24,7.51087825005694e-22
HUWE1,0.579870331583271,6.78179896596231,140.520789148721,1.27672573488012e-24,8.06988173234435e-22
SMC1A,0.605504304626388,5.41110543736039,140.419978410622,1.31452017078806e-24,8.06988173234435e-22
TNFAIP8L2,1.83455750632419,0.190892560197373,140.257055178962,1.37800676009886e-24,8.19526457857544e-22
CORO1B,0.551627057147346,5.30522936261622,139.822170261529,1.56307248647437e-24,9.01419166366474e-22
HCFC1,0.556502655439599,5.48950619673191,138.856285918467,2.06915474468846e-24,1.15817893959312e-21
ARPC1B,1.16585170931915,5.37975830787399,138.058257355289,2.61043087968855e-24,1.4194031448958e-21
RP1-151F17.2,-1.27269884508933,2.99359688602932,137.574755666704,3.00592164048862e-24,1.58904707611497e-21
FCGR3A,1.74814292195761,4.24298616510166,136.89085719604,3.67107283299666e-24,1.88822127256106e-21
LRIG2,-0.639089680246419,3.6493429795864,135.640656872643,5.29632165893968e-24,2.65248151292845e-21
LRP10,1.12108840852059,6.43838568439609,135.094798349877,6.21828590094135e-24,3.01216656264853e-21
CYFIP1,0.652018050481008,5.40850256872171,135.033714794082,6.3310736433157e-24,3.01216656264853e-21
KLF3-AS1,-1.76986995817762,0.748077889323354,134.917970166819,6.55049326108447e-24,3.04054725004143e-21
VARS,0.864233616496902,5.69781667278891,132.643914411136,1.28256465427892e-23,5.77636617969237e-21
L3MBTL4,-0.716881654533496,3.48262894771326,132.585041533345,1.30515341141701e-23,5.77636617969237e-21
IFNG,-4.05448017691959,-0.303404824032569,132.489167637883,1.3428029020946e-23,5.8079277340369e-21
SHKBP1,0.586240317680981,4.29485747386263,132.271827726785,1.43226827768527e-23,6.05722168725076e-21
PRKDC,0.777503717817487,5.43911423716043,131.958153521745,1.57212312311636e-23,6.50414677304946e-21
PNN,-0.800451595784214,7.41855581344607,131.781969458733,1.65665051214776e-23,6.70802465886896e-21
MAN2B1,0.692434149392881,5.20511286125683,131.622202909307,1.73726792220475e-23,6.88790538072471e-21
SMPD1,0.760858321411092,6.08397203259754,131.439936820657,1.83409385366034e-23,7.01125341771532e-21
MFSD1,0.676083959744543,4.79041897559268,131.425374589631,1.84206122056521e-23,7.01125341771532e-21
NCSTN,0.558310994898669,5.51623057566826,131.24316109709,1.94476308179762e-23,7.25701690386087e-21
GTF3C1,0.343124983755804,5.28814672954115,131.013497842847,2.08249815385019e-23,7.62154276267751e-21
RPN2,1.14013870510026,7.05998278559389,130.541311474271,2.39746669577125e-23,8.60871484664579e-21
GLB1,0.826912360467463,4.95893016439242,130.475302952107,2.44517961799058e-23,8.61744690925531e-21
MAPKAP1,0.538693910354127,5.32100912917552,130.406288466168,2.49609208027314e-23,8.63693243266874e-21
ATP6V0E1,0.634470330636759,6.01707142766936,130.193298843588,2.66007323734706e-23,9.03997388927712e-21
TMCO3,1.42950898553482,4.23124448354998,129.363184678586,3.4101263107986e-23,1.13856340036506e-20
ZNF383,-0.632609083940985,2.24870295703758,128.921148591705,3.89342251025057e-23,1.27751247918239e-20
TXNDC12,0.649562044464992,4.81529282427529,128.701073926171,4.15929320945316e-23,1.34161879778141e-20
LINC01767,-2.05181583312843,2.07824094331623,128.379248537558,4.58149997153891e-23,1.43127265058776e-20
GRN,0.86959564711736,6.26976060937102,128.374783053142,4.58765339109103e-23,1.43127265058776e-20
PLCXD2,-0.891109126919803,2.14151905042893,127.631502652293,5.73762743080013e-23,1.76117399412189e-20
ECT2,1.61258862580971,1.50947787450971,127.310403923572,6.32076224980799e-23,1.90937184723962e-20
ZNF224,-0.746214405075699,3.12173846887436,126.764271556797,7.45361305496739e-23,2.21640171951694e-20
RALBP1,0.492163928676972,4.51213884550288,126.04334475785,9.26984559112696e-23,2.71406817607288e-20
CD59,0.807099819160871,6.72094507865821,125.030980886168,1.26018892269053e-22,3.63373566480659e-20
LAG3,-1.50641180666943,2.13987062573312,124.7260471176,1.3825841289638e-22,3.92715799377762e-20
VCP,0.81488437680915,7.54575679026767,124.605544001705,1.43420351194952e-22,4.01387162292815e-20
CTNNA1,0.677438717241022,6.76484794847521,124.184220941762,1.63049363108459e-22,4.47406777124688e-20
