,logFC,logCPM,F,PValue,FDR
NREP,-1.1740958760177,4.59230433241863,377.014750377069,2.58261733790994e-63,5.64947542667799e-59
SUN2,1.07541849828825,8.47971162622325,354.265394011512,1.9934826598043e-60,2.18037165916095e-56
CREB5,-0.947676813111629,5.00242064640273,352.141327809931,3.74203747801363e-60,2.72856899438494e-56
DANCR,0.748236264146033,4.98223155436087,350.37170037581,6.33117122853991e-60,3.46235926560776e-56
PLPPR4,-1.32406545828418,3.04473209803246,344.438795906676,3.72053699092823e-59,1.6277349335311e-55
CAPN6,-1.86002928057814,3.18702654547895,341.974679547796,7.79157685223712e-59,2.84067906071145e-55
TTC38,0.585853401045617,5.45917815956425,341.424080368753,9.19356355391118e-59,2.87298861059724e-55
AVP,-5.94203713486813,-0.124698617657173,332.500398757713,1.36356275566424e-57,3.7284919100194e-54
CRABP2,-1.96117262058503,3.89271483710334,331.020056971505,2.13879614020101e-57,5.19846284076634e-54
GCDH,0.948328460590583,4.87016581021919,329.135652422187,3.79774529434012e-57,8.30756783136901e-54
COL1A1,-1.08440224657725,9.22450076179277,319.727495525493,6.80714446737581e-56,1.35369350203496e-52
GPX3,1.92529838848724,11.8991101592017,314.602925510942,3.3245966383739e-55,6.06046262203576e-52
TRIL,-1.69951224758377,3.10086966013814,313.299962983893,4.98370648082449e-55,8.38604455907967e-52
SLC6A1,-1.25511998509962,4.73845195699351,306.358752987664,4.35414970044427e-54,6.80335890694417e-51
TPPP3,-1.3901163265517,4.44144109036408,305.296080997502,6.07759390704667e-54,8.86315778110972e-51
SLC39A11,0.984853448535296,3.75097267123299,300.687885534452,2.59404049831277e-53,3.54653974378699e-50
RPS6KA2,0.844474239518815,7.0992186020529,296.098935826035,1.10965208121944e-52,1.42786113392208e-49
AHCY,0.651976385417401,6.3325739211864,291.182752855991,5.31420465396428e-52,6.45823482252604e-49
PTHLH,-1.82427525657235,1.97858732367456,290.46523131162,6.68456731415391e-52,7.6960478945851e-49
ASL,0.563020074382041,5.38306511201907,288.898044245481,1.10409461041765e-51,1.2076034801443e-48
RP11-567M16.1,-2.06607714066834,3.56765803959865,284.206419964355,4.98895080850061e-51,5.1968237588548e-48
RAB7B,-1.47634370649616,2.35839242404276,283.19834721498,6.90647619340387e-51,6.86723485139589e-48
MXRA5,-1.96932029934614,3.2309384021933,282.467039614345,8.74657212024659e-51,8.31875065784323e-48
MTOR,0.437063192023259,6.40683213338507,280.794922849284,1.50226576098133e-50,1.36925264672777e-47
NRK,-1.47957303455328,1.26253727276537,277.853675362661,3.90093645152205e-50,3.41331939508179e-47
FNDC5,-1.62109216418803,1.4966480478697,277.687633209516,4.11728325577484e-50,3.46406043154133e-47
C1QL1,2.45468867560195,4.53337669160816,277.348549192955,4.59725078135852e-50,3.72462447563769e-47
MAOA,1.5187552768222,6.81125665903985,277.138830662364,4.92182648764228e-50,3.84517694347053e-47
PRDX6,0.770381587399118,8.14198398361691,276.899436612723,5.32055041866018e-50,4.01334622097211e-47
AGFG2,0.575874546955745,5.38277936456392,273.880549443384,1.42386093188785e-49,1.03823192950155e-46
IL17RD,-0.852537189882688,4.07389512152112,271.334991736771,3.27523340878218e-49,2.31115260700356e-46
ZBTB7B,0.546635743269882,5.89272849221967,270.425130472945,4.4140813738203e-49,3.01743843913497e-46
ADH1B,1.17840707007158,9.6152423240051,269.941072994317,5.17428410576068e-49,3.42992317616712e-46
SLC7A8,1.48883633535421,5.13555167081629,269.647618472714,5.69780828955872e-49,3.66586930394403e-46
DCXR,1.04287380575975,5.89902597952309,269.18253374431,6.63863579275451e-49,4.14914737047157e-46
NFKBIB,0.617671362483423,4.68429838355062,269.06785538363,6.8936690961709e-49,4.18886142996496e-46
SFRP2,-1.84107128122368,6.89939605242711,268.543294023372,8.19159216947688e-49,4.84300212722451e-46
CCDC192,1.15133008533067,0.790395731106556,268.238592383445,9.05543307672167e-49,5.08430699368847e-46
TTPAL,0.778625599613544,4.487639710007,268.235520250779,9.06459304017602e-49,5.08430699368847e-46
NADK,0.59249800693655,6.26589182876712,268.122562120113,9.40793065184904e-49,5.14496207522995e-46
FOXS1,-2.02579798665503,4.50438228010512,266.768039132345,1.46990355170151e-48,7.84247321791965e-46
PCK2,1.05555382298425,4.53977037754438,264.345809540449,3.27110708707101e-48,1.70370160784948e-45
MTHFD1,0.552221159387068,5.65174602884454,261.862161928642,7.44818606008481e-48,3.78904814103152e-45
PPA1,0.894483824370446,7.06124200850297,261.66828149635,7.94320065345389e-48,3.94903441577963e-45
PKNOX2,-0.691063661529632,4.0474285788446,260.944090830907,1.0102752472467e-47,4.91106022967148e-45
CTD-3035K23.7,-1.32868071886623,2.56033318357854,259.450468871065,1.66022133531952e-47,7.89507428480751e-45
TMEM120A,0.546062393407494,5.85189785727232,258.769147322445,2.08310357948155e-47,9.6952959151402e-45
LSP1,-0.941058989745529,5.85117821383127,258.597084817,2.20603075734738e-47,1.00153079678963e-44
RP11-54A9.1,2.91734232248894,-0.311641734217334,258.546644302195,2.24342898480877e-47,1.00153079678963e-44
OXT,-4.08385893271965,-0.380779639811531,256.033830308664,5.19076163328503e-47,2.2709582145622e-44
STARD4-AS1,-1.14468926279924,3.51191001517653,255.893800287539,5.43962226517016e-47,2.33317131471759e-44
C18orf8,0.382657423080128,4.3833725579415,254.573242628853,8.46347305637905e-47,3.56035525208253e-44
PTCH2,-1.5804069803316,6.74633578609672,254.27434160631,9.35510572885246e-47,3.86118750601222e-44
RASL10B,1.54040022251687,3.27034782196763,252.639152789602,1.61930223803935e-46,6.55967341798349e-44
SSPN,-0.837902029625169,6.00423847715112,252.476788139094,1.71007755980821e-46,6.80144484014627e-44
ATG9A,0.336233636585417,6.42970556832189,252.354166063641,1.78200495908215e-46,6.96095687141464e-44
PIM3,0.755412814822331,6.74941707254026,251.425155069366,2.43537249962411e-46,9.34627604022411e-44
PXMP2,0.805861929555424,3.75531985421807,250.978053923881,2.8308172792326e-46,1.06765737902092e-43
BCL6,0.932763866189301,8.72206472601101,250.403309469182,3.43535090922463e-46,1.25840429689255e-43
MSRB1,0.733483160250193,4.22365378069566,250.389282782874,3.45162321433385e-46,1.25840429689255e-43
PRSS35,-1.44566360527874,1.58025492401261,249.69250089099,4.36535212877906e-46,1.56544389864003e-43
ALOX15B,3.0035785858363,3.41816675690712,249.075765481497,5.37497895834278e-46,1.89641394699594e-43
ALDH1L1,1.99923273583853,4.83447792369478,248.230567670082,7.15034029074949e-46,2.48275704539913e-43
PCYT2,0.860740125519504,5.74071798024106,248.096938966816,7.48059959408135e-46,2.53518340399543e-43
RNASE2,1.94075530616196,1.03035769260491,248.076237060007,7.53311640044355e-46,2.53518340399543e-43
CPM,1.24600520230458,5.44028446007439,247.967261320466,7.81573165714241e-46,2.59044136363621e-43
PPP5C,0.45980759630338,5.90089850013253,246.74522094036,1.18166533645878e-45,3.85804913955759e-43
OLFML2B,-0.972619962093083,5.89892377153627,246.378421288376,1.33794014043998e-45,4.30403537825363e-43
PSMC5,0.467442422566008,7.01123962917695,245.919710222977,1.56290559012244e-45,4.95486373680122e-43
PRPS2,1.83850452709933,6.93857218702315,245.822820069911,1.61508258958167e-45,5.04713309244273e-43
GLUL,1.26350453268814,12.0196926878853,245.33788782469,1.90372120436682e-45,5.86533821767945e-43
COL5A1,-0.533113898269034,7.97483994272012,244.856587117939,2.24141894198373e-45,6.80986657720753e-43
SCN4B,-1.4279074821579,3.72148892546483,244.324395154602,2.68531227882507e-45,8.04674056154774e-43
ATG13,0.39766825342692,6.69626285705491,243.676476604815,3.34661722376674e-45,9.86632588354042e-43
RP11-268J15.5,-0.825952171633953,3.07127992437325,243.644894344,3.38274030292814e-45,9.86632588354042e-43
RP5-1063M23.3,-1.72946872224839,-1.05287811908622,243.077737212934,4.1023620493632e-45,1.18077855039237e-42
SPHK2,0.540046070565715,4.80245626635671,241.641148478777,6.69105047484332e-45,1.9008666121714e-42
MRC2,-1.01990981970569,6.90701717406912,241.012308383387,8.29132833315918e-45,2.32529240112637e-42
TMEM53,0.488455252275396,3.35788126772776,239.188688563601,1.54576950352557e-44,4.28021618855973e-42
FREM1,-0.933033593500831,3.70147018242052,238.498876998957,1.9572525251315e-44,5.35186237340645e-42
MEGF11,1.72469108824865,2.39117648846857,238.446915342804,1.99237893737432e-44,5.38065299445225e-42
PQLC2L,1.07145004779271,2.66680841966486,238.143382970158,2.21059200341101e-44,5.89715854568485e-42
CYS1,-1.22804115936366,3.45718700920889,237.856430066219,2.43891599112113e-44,6.42786594045478e-42
COL3A1,-1.09574982683532,8.53589238787175,237.027583657928,3.24035366922549e-44,8.43842101360804e-42
LARP1,0.35279286424693,7.73278951316236,236.989873744429,3.28253842956582e-44,8.44770919373557e-42
